queue_name,priority,queue_duration,artificial_duration,calldate,startqueue,endqueue,queue_interval
cg-us_ts_post,MEDIUM,1670,1670,2020-10-05,2020-10-05 15:30:41,2020-10-05 15:58:31,1670
cg-us_ps_specialty_paid,MEDIUM,4,4,2020-10-05,2020-10-05 11:12:10,2020-10-05 11:12:14,4
cg-us_ts_post_diwm,MEDIUM,108,108,2020-10-05,2020-10-05 09:05:30,2020-10-05 09:07:18,108
cg-us_ts_post,MEDIUM,446,446,2020-10-05,2020-10-05 10:51:04,2020-10-05 10:58:30,446
cg-us_ps_specialty_paid,MEDIUM,14,14,2020-10-05,2020-10-05 12:16:29,2020-10-05 12:16:43,14
cg-us_ts_post_diwm,MEDIUM,179,179,2020-10-05,2020-10-05 13:09:10,2020-10-05 13:12:09,179
cg-us_ps_specialty_paid,MEDIUM,4,4,2020-10-05,2020-10-05 05:58:24,2020-10-05 05:58:28,4
cg-us_ps_specialty_paid,MEDIUM,4,4,2020-10-05,2020-10-05 07:04:48,2020-10-05 07:04:52,4
cg-us_ps_specialty_paid,MEDIUM,7,7,2020-10-05,2020-10-05 08:27:38,2020-10-05 08:27:45,7
cg-us_ps_specialty_paid,MEDIUM,22,22,2020-10-05,2020-10-05 09:35:13,2020-10-05 09:35:35,22
cg-us_ps_specialty_paid,MEDIUM,18,18,2020-10-05,2020-10-05 08:20:42,2020-10-05 08:21:00,18
cg-us_ps_specialty_paid,MEDIUM,5,5,2020-10-05,2020-10-05 10:00:38,2020-10-05 10:00:43,5
cg-us_ts_post,MEDIUM,252,252,2020-10-05,2020-10-05 08:46:21,2020-10-05 08:50:33,252
cg-us_ts_post,MEDIUM,438,438,2020-10-05,2020-10-05 09:11:31,2020-10-05 09:18:49,438
cg-us_ts_post_diwm,MEDIUM,64,64,2020-10-05,2020-10-05 12:47:49,2020-10-05 12:48:53,64
cg-us_ts_post_diwm,MEDIUM,117,117,2020-10-05,2020-10-05 09:20:46,2020-10-05 09:22:43,117
cg-us_ts_post_diwm,MEDIUM,183,183,2020-10-05,2020-10-05 14:28:09,2020-10-05 14:31:12,183
cg-us_ps_specialty_paid,MEDIUM,94,94,2020-10-05,2020-10-05 16:00:42,2020-10-05 16:02:16,94
cg-us_ps_specialty_paid,MEDIUM,447,447,2020-10-05,2020-10-05 14:47:07,2020-10-05 14:54:34,447
cg-us_ps_specialty_paid,MEDIUM,368,368,2020-10-05,2020-10-05 13:50:49,2020-10-05 13:56:57,368
cg-us_ts_post_diwm,MEDIUM,187,187,2020-10-05,2020-10-05 12:53:29,2020-10-05 12:56:36,187
cg-us_ps_specialty_paid,MEDIUM,17,17,2020-10-05,2020-10-05 09:30:38,2020-10-05 09:30:55,17
cg-us_ts_diwm,MEDIUM,305,305,2020-10-05,2020-10-05 14:36:26,2020-10-05 14:41:31,305
cg-us_ts_diwm_mobile,MEDIUM,19,19,2020-10-05,2020-10-05 13:41:12,2020-10-05 13:41:31,19
cg-us_ps_specialty_paid,MEDIUM,384,384,2020-10-05,2020-10-05 13:21:19,2020-10-05 13:27:43,384
cg-us_ts_diwm,MEDIUM,135,135,2020-10-05,2020-10-05 10:15:17,2020-10-05 10:17:32,135
cg-us_ts_post,MEDIUM,1615,1615,2020-10-05,2020-10-05 14:06:22,2020-10-05 14:33:17,1615
cg-us_ts_post_diwm,MEDIUM,136,136,2020-10-05,2020-10-05 13:20:20,2020-10-05 13:22:36,136
cg-us_ps_specialty_paid,MEDIUM,5,5,2020-10-05,2020-10-05 09:15:33,2020-10-05 09:15:38,5
cg-us_ts_post,MEDIUM,448,448,2020-10-05,2020-10-05 10:38:51,2020-10-05 10:46:19,448
cg-us_ts_post_diwm,MEDIUM,155,155,2020-10-05,2020-10-05 11:52:58,2020-10-05 11:55:33,155
cg-us_ps_specialty_paid,MEDIUM,16,16,2020-10-05,2020-10-05 11:29:31,2020-10-05 11:29:47,16
cg-us_ts_post,MEDIUM,264,264,2020-10-05,2020-10-05 14:10:00,2020-10-05 14:14:24,264
cg-us_ts_diwm,MEDIUM,313,313,2020-10-05,2020-10-05 14:14:27,2020-10-05 14:19:40,313
cg-us_ts_post,MEDIUM,283,283,2020-10-05,2020-10-05 11:09:36,2020-10-05 11:14:19,283
cg-us_ts_post,MEDIUM,317,317,2020-10-05,2020-10-05 08:41:05,2020-10-05 08:46:22,317
cg-us_ts_post_diwm,MEDIUM,714,714,2020-10-05,2020-10-05 15:24:50,2020-10-05 15:36:44,714
cg-us_ts_post,MEDIUM,18,18,2020-10-05,2020-10-05 07:58:19,2020-10-05 07:58:37,18
cg-us_ts_diwm,MEDIUM,222,222,2020-10-05,2020-10-05 11:56:00,2020-10-05 11:59:42,222
cg-us_ps_specialty_paid,MEDIUM,4,4,2020-10-05,2020-10-05 09:15:45,2020-10-05 09:15:49,4
cg-us_ts_paid,MEDIUM,193,193,2020-10-05,2020-10-05 13:01:53,2020-10-05 13:05:06,193
cg-us_ts_diwm_mobile,MEDIUM,31,31,2020-10-05,2020-10-05 13:06:42,2020-10-05 13:07:13,31
cg-us_ps_specialty_paid,MEDIUM,466,466,2020-10-05,2020-10-05 14:52:46,2020-10-05 15:00:32,466
cg-us_ps_specialty_paid,MEDIUM,6,6,2020-10-05,2020-10-05 07:30:07,2020-10-05 07:30:13,6
cg-us_ps_specialty_paid,MEDIUM,212,212,2020-10-05,2020-10-05 12:11:21,2020-10-05 12:14:53,212
cg-us_ts_paid,MEDIUM,12,12,2020-10-05,2020-10-05 06:23:56,2020-10-05 06:24:08,12
cg-us_ts_post,MEDIUM,273,273,2020-10-05,2020-10-05 11:13:48,2020-10-05 11:18:21,273
cg-us_ts_post_diwm,MEDIUM,151,151,2020-10-05,2020-10-05 11:21:05,2020-10-05 11:23:36,151
cg-us_ps_specialty_paid,MEDIUM,61,61,2020-10-05,2020-10-05 12:49:31,2020-10-05 12:50:32,61
cg-us_ts_post_diwm,MEDIUM,131,131,2020-10-05,2020-10-05 16:10:33,2020-10-05 16:12:44,131
cg-us_ts_post,MEDIUM,808,808,2020-10-05,2020-10-05 13:05:48,2020-10-05 13:19:16,808
cg-us_ts_post,MEDIUM,451,451,2020-10-05,2020-10-05 09:55:51,2020-10-05 10:03:22,451
cg-us_ts_post_diwm,MEDIUM,327,327,2020-10-05,2020-10-05 14:41:47,2020-10-05 14:47:14,327
cg-us_ps_specialty_paid,MEDIUM,6,6,2020-10-05,2020-10-05 06:20:49,2020-10-05 06:20:55,6
cg-us_ps_specialty_paid,MEDIUM,468,468,2020-10-05,2020-10-05 13:45:37,2020-10-05 13:53:25,468
cg-us_ts_post_diwm,MEDIUM,166,166,2020-10-05,2020-10-05 14:29:40,2020-10-05 14:32:26,166
cg-us_ts_post,MEDIUM,368,368,2020-10-05,2020-10-05 10:17:50,2020-10-05 10:23:58,368
cg-us_ts_post_diwm,MEDIUM,165,165,2020-10-05,2020-10-05 10:53:05,2020-10-05 10:55:50,165
cg-us_ts_diwm,MEDIUM,69,69,2020-10-05,2020-10-05 09:04:00,2020-10-05 09:05:09,69
cg-us_ts_paid,MEDIUM,7,7,2020-10-05,2020-10-05 08:15:14,2020-10-05 08:15:21,7
cg-us_ts_post,HIGH,48,108,2020-10-05,2020-10-05 07:29:11,2020-10-05 07:29:59,48
cg-us_ts_post,MEDIUM,1220,1220,2020-10-05,2020-10-05 12:24:50,2020-10-05 12:45:10,1220
cg-us_ts_paid,MEDIUM,610,610,2020-10-05,2020-10-05 14:24:08,2020-10-05 14:34:18,610
cg-us_ts_post,MEDIUM,1757,1757,2020-10-05,2020-10-05 13:43:51,2020-10-05 14:13:08,1757
cg-us_ts_post,MEDIUM,434,434,2020-10-05,2020-10-05 10:19:20,2020-10-05 10:26:34,434
cg-us_ts_post,MEDIUM,8,8,2020-10-05,2020-10-05 08:35:39,2020-10-05 08:35:47,8
cg-us_ts_paid,MEDIUM,150,150,2020-10-05,2020-10-05 10:13:31,2020-10-05 10:16:01,150
cg-us_ps_specialty_paid,MEDIUM,4,4,2020-10-05,2020-10-05 08:10:49,2020-10-05 08:10:53,4
cg-us_ps_specialty_paid,MEDIUM,427,427,2020-10-05,2020-10-05 15:40:20,2020-10-05 15:47:27,427
cg-us_ts_paid,MEDIUM,175,175,2020-10-05,2020-10-05 09:59:10,2020-10-05 10:02:05,175
cg-us_ts_post,MEDIUM,863,863,2020-10-05,2020-10-05 15:44:37,2020-10-05 15:59:00,863
cg-us_ts_post,MEDIUM,224,224,2020-10-05,2020-10-05 12:47:07,2020-10-05 12:50:51,224
cg-us_ts_paid,MEDIUM,57,57,2020-10-05,2020-10-05 12:14:16,2020-10-05 12:15:13,57
cg-us_ps_specialty_paid,MEDIUM,69,69,2020-10-05,2020-10-05 11:40:33,2020-10-05 11:41:42,69
cg-us_ps_specialty_paid,MEDIUM,4,4,2020-10-05,2020-10-05 11:20:31,2020-10-05 11:20:35,4
cg-us_ts_post_diwm,MEDIUM,306,306,2020-10-05,2020-10-05 12:53:41,2020-10-05 12:58:47,306
cg-us_ts_post,MEDIUM,174,174,2020-10-05,2020-10-05 16:47:10,2020-10-05 16:50:04,174
cg-us_ps_specialty_paid,MEDIUM,195,195,2020-10-05,2020-10-05 16:21:45,2020-10-05 16:25:00,195
cg-us_ts_diwm,MEDIUM,137,137,2020-10-05,2020-10-05 09:22:24,2020-10-05 09:24:41,137
cg-us_ts_diwm,MEDIUM,504,504,2020-10-05,2020-10-05 15:06:51,2020-10-05 15:15:15,504
cg-us_ts_post,MEDIUM,1773,1773,2020-10-05,2020-10-05 13:43:58,2020-10-05 14:13:31,1773
cg-us_ts_post,MEDIUM,1046,1046,2020-10-05,2020-10-05 12:29:33,2020-10-05 12:46:59,1046
cg-us_ps_specialty_paid,MEDIUM,20,20,2020-10-05,2020-10-05 12:48:54,2020-10-05 12:49:14,20
cg-us_ps_specialty_paid,MEDIUM,167,167,2020-10-05,2020-10-05 13:13:08,2020-10-05 13:15:55,167
cg-us_ts_post,MEDIUM,24,24,2020-10-05,2020-10-05 15:45:30,2020-10-05 15:45:54,24
cg-us_ts_post_diwm,MEDIUM,123,123,2020-10-05,2020-10-05 08:38:12,2020-10-05 08:40:15,123
cg-us_ts_post,MEDIUM,2322,2322,2020-10-05,2020-10-05 14:23:23,2020-10-05 15:02:05,2322
cg-us_ts_post,MEDIUM,1652,1652,2020-10-05,2020-10-05 15:31:16,2020-10-05 15:58:48,1652
cg-us_ts_post,MEDIUM,62,62,2020-10-05,2020-10-05 10:31:13,2020-10-05 10:32:15,62
cg-us_ts_diwm,MEDIUM,119,119,2020-10-05,2020-10-05 15:38:55,2020-10-05 15:40:54,119
cg-us_ts_post_diwm,MEDIUM,680,680,2020-10-05,2020-10-05 15:24:10,2020-10-05 15:35:30,680
cg-us_ps_specialty_paid,MEDIUM,6,6,2020-10-05,2020-10-05 05:51:26,2020-10-05 05:51:32,6
cg-us_ps_specialty_paid,MEDIUM,425,425,2020-10-05,2020-10-05 13:18:11,2020-10-05 13:25:16,425
cg-us_ts_post,MEDIUM,5,5,2020-10-05,2020-10-05 07:38:09,2020-10-05 07:38:14,5
cg-us_ts_post_diwm,MEDIUM,136,136,2020-10-05,2020-10-05 13:19:16,2020-10-05 13:21:32,136
cg-us_ps_specialty_paid,MEDIUM,312,312,2020-10-05,2020-10-05 13:40:21,2020-10-05 13:45:33,312
cg-us_ts_post_diwm,MEDIUM,60,60,2020-10-05,2020-10-05 09:15:32,2020-10-05 09:16:32,60
cg-us_ts_post,MEDIUM,438,438,2020-10-05,2020-10-05 09:50:23,2020-10-05 09:57:41,438
cg-us_ts_diwm,MEDIUM,315,315,2020-10-05,2020-10-05 16:02:17,2020-10-05 16:07:32,315
cg-us_ts_post,MEDIUM,1824,1824,2020-10-05,2020-10-05 15:15:40,2020-10-05 15:46:04,1824
cg-us_ts_diwm_mobile,MEDIUM,18,18,2020-10-05,2020-10-05 14:59:06,2020-10-05 14:59:24,18
cg-us_ts_post,MEDIUM,1267,1267,2020-10-05,2020-10-05 15:37:55,2020-10-05 15:59:02,1267
cg-us_ts_post,MEDIUM,1819,1819,2020-10-05,2020-10-05 13:37:35,2020-10-05 14:07:54,1819
cg-us_ts_post,MEDIUM,892,892,2020-10-05,2020-10-05 11:25:37,2020-10-05 11:40:29,892
cg-us_ts_post_diwm,MEDIUM,3,3,2020-10-05,2020-10-05 07:57:57,2020-10-05 07:58:00,3
cg-us_ps_specialty_paid,MEDIUM,5,5,2020-10-05,2020-10-05 10:03:14,2020-10-05 10:03:19,5
cg-us_ts_paid,MEDIUM,331,331,2020-10-05,2020-10-05 16:25:26,2020-10-05 16:30:57,331
cg-us_ts_post,MEDIUM,468,468,2020-10-05,2020-10-05 10:02:43,2020-10-05 10:10:31,468
cg-us_ps_specialty_paid,MEDIUM,448,448,2020-10-05,2020-10-05 13:45:16,2020-10-05 13:52:44,448
cg-us_ts_post,MEDIUM,284,284,2020-10-05,2020-10-05 15:54:40,2020-10-05 15:59:24,284
cg-us_ts_post_diwm,MEDIUM,417,417,2020-10-05,2020-10-05 14:46:27,2020-10-05 14:53:24,417
cg-us_ts_post,MEDIUM,26,26,2020-10-05,2020-10-05 05:52:46,2020-10-05 05:53:12,26
cg-us_ts_post,HIGH,19,79,2020-10-05,2020-10-05 08:23:40,2020-10-05 08:23:59,19
cg-us_ts_post_diwm,MEDIUM,22,22,2020-10-05,2020-10-05 06:52:36,2020-10-05 06:52:58,22
cg-us_ts_post,MEDIUM,7,7,2020-10-05,2020-10-05 05:27:12,2020-10-05 05:27:19,7
cg-us_ts_post,MEDIUM,1692,1692,2020-10-05,2020-10-05 13:23:07,2020-10-05 13:51:19,1692
cg-us_ts_diwm,MEDIUM,265,265,2020-10-05,2020-10-05 14:20:12,2020-10-05 14:24:37,265
cg-us_ps_specialty_paid,MEDIUM,33,33,2020-10-05,2020-10-05 06:20:11,2020-10-05 06:20:44,33
cg-us_ts_post,MEDIUM,376,376,2020-10-05,2020-10-05 11:11:57,2020-10-05 11:18:13,376
cg-us_ts_post_diwm,MEDIUM,257,257,2020-10-05,2020-10-05 11:25:47,2020-10-05 11:30:04,257
cg-us_ps_specialty_paid,MEDIUM,5,5,2020-10-05,2020-10-05 09:08:05,2020-10-05 09:08:10,5
cg-us_ps_specialty_paid,MEDIUM,112,112,2020-10-05,2020-10-05 16:43:37,2020-10-05 16:45:29,112
cg-us_ts_post_diwm,MEDIUM,21,21,2020-10-05,2020-10-05 10:19:41,2020-10-05 10:20:02,21
cg-us_ts_post,HIGH,892,952,2020-10-05,2020-10-05 13:03:03,2020-10-05 13:17:55,892
cg-us_ps_specialty_paid,MEDIUM,194,194,2020-10-05,2020-10-05 12:09:39,2020-10-05 12:12:53,194
cg-us_ps_specialty_paid,MEDIUM,348,348,2020-10-05,2020-10-05 13:16:12,2020-10-05 13:22:00,348
cg-us_ts_post,MEDIUM,434,434,2020-10-05,2020-10-05 09:29:39,2020-10-05 09:36:53,434
cg-us_ts_post,MEDIUM,2212,2212,2020-10-05,2020-10-05 14:35:13,2020-10-05 15:12:05,2212
cg-us_ps_specialty_paid,MEDIUM,426,426,2020-10-05,2020-10-05 13:16:13,2020-10-05 13:23:19,426
cg-us_ts_post,MEDIUM,1748,1748,2020-10-05,2020-10-05 13:54:42,2020-10-05 14:23:50,1748
cg-us_ts_post_diwm,MEDIUM,19,19,2020-10-05,2020-10-05 08:12:25,2020-10-05 08:12:44,19
cg-us_ts_post_diwm,MEDIUM,397,397,2020-10-05,2020-10-05 13:30:19,2020-10-05 13:36:56,397
cg-us_ts_diwm,MEDIUM,315,315,2020-10-05,2020-10-05 14:50:25,2020-10-05 14:55:40,315
cg-us_ts_paid,MEDIUM,603,603,2020-10-05,2020-10-05 14:05:30,2020-10-05 14:15:33,603
cg-us_ts_diwm_mobile,MEDIUM,56,56,2020-10-05,2020-10-05 10:08:09,2020-10-05 10:09:05,56
cg-us_ts_post,MEDIUM,1566,1566,2020-10-05,2020-10-05 14:09:03,2020-10-05 14:35:09,1566
cg-us_ps_specialty_paid,MEDIUM,168,168,2020-10-05,2020-10-05 11:39:05,2020-10-05 11:41:53,168
cg-us_ts_post,MEDIUM,2106,2106,2020-10-05,2020-10-05 15:06:10,2020-10-05 15:41:16,2106
cg-us_ps_specialty_paid,MEDIUM,468,468,2020-10-05,2020-10-05 15:21:42,2020-10-05 15:29:30,468
cg-us_ts_post,MEDIUM,5,5,2020-10-05,2020-10-05 05:45:57,2020-10-05 05:46:02,5
cg-us_ts_post_diwm,MEDIUM,306,306,2020-10-05,2020-10-05 13:56:25,2020-10-05 14:01:31,306
cg-us_ps_specialty_paid,MEDIUM,15,15,2020-10-05,2020-10-05 10:39:24,2020-10-05 10:39:39,15
cg-us_ts_post,MEDIUM,75,75,2020-10-05,2020-10-05 09:07:15,2020-10-05 09:08:30,75
cg-us_ps_specialty_paid,MEDIUM,4,4,2020-10-05,2020-10-05 11:22:32,2020-10-05 11:22:36,4
cg-us_ts_post_diwm,MEDIUM,54,54,2020-10-05,2020-10-05 10:12:54,2020-10-05 10:13:48,54
cg-us_ps_specialty_paid,MEDIUM,17,17,2020-10-05,2020-10-05 10:49:25,2020-10-05 10:49:42,17
cg-us_ts_post,MEDIUM,273,273,2020-10-05,2020-10-05 08:47:06,2020-10-05 08:51:39,273
cg-us_ts_post,MEDIUM,784,784,2020-10-05,2020-10-05 12:24:34,2020-10-05 12:37:38,784
cg-us_ts_post,MEDIUM,219,219,2020-10-05,2020-10-05 12:26:15,2020-10-05 12:29:54,219
cg-us_ts_post,HIGH,2394,2454,2020-10-05,2020-10-05 14:39:37,2020-10-05 15:19:31,2394
cg-us_ts_post,MEDIUM,507,507,2020-10-05,2020-10-05 10:03:02,2020-10-05 10:11:29,507
cg-us_ts_post_diwm,MEDIUM,142,142,2020-10-05,2020-10-05 12:25:03,2020-10-05 12:27:25,142
cg-us_ts_paid,MEDIUM,166,166,2020-10-05,2020-10-05 10:46:25,2020-10-05 10:49:11,166
cg-us_ts_diwm,MEDIUM,323,323,2020-10-05,2020-10-05 14:06:46,2020-10-05 14:12:09,323
cg-us_ts_post,MEDIUM,344,344,2020-10-05,2020-10-05 10:48:22,2020-10-05 10:54:06,344
cg-us_ts_post,MEDIUM,204,204,2020-10-05,2020-10-05 08:46:02,2020-10-05 08:49:26,204
cg-us_ts_diwm,MEDIUM,181,181,2020-10-05,2020-10-05 13:09:06,2020-10-05 13:12:07,181
cg-us_ts_post,MEDIUM,564,564,2020-10-05,2020-10-05 11:54:29,2020-10-05 12:03:53,564
cg-us_ts_post,MEDIUM,157,157,2020-10-05,2020-10-05 09:31:11,2020-10-05 09:33:48,157
cg-us_ts_diwm,MEDIUM,223,223,2020-10-05,2020-10-05 14:30:23,2020-10-05 14:34:06,223
cg-us_ts_post,MEDIUM,19,19,2020-10-05,2020-10-05 08:01:17,2020-10-05 08:01:36,19
cg-us_ts_post_diwm,MEDIUM,736,736,2020-10-05,2020-10-05 15:25:06,2020-10-05 15:37:22,736
cg-us_ts_post,MEDIUM,18,18,2020-10-05,2020-10-05 05:02:42,2020-10-05 05:03:00,18
cg-us_ps_specialty_paid,MEDIUM,310,310,2020-10-05,2020-10-05 13:37:59,2020-10-05 13:43:09,310
cg-us_ts_post_diwm,MEDIUM,267,267,2020-10-05,2020-10-05 15:34:58,2020-10-05 15:39:25,267
cg-us_ts_post_diwm,MEDIUM,18,18,2020-10-05,2020-10-05 11:10:32,2020-10-05 11:10:50,18
cg-us_ts_paid,MEDIUM,697,697,2020-10-05,2020-10-05 14:03:55,2020-10-05 14:15:32,697
cg-us_ps_specialty_paid,MEDIUM,34,34,2020-10-05,2020-10-05 12:51:23,2020-10-05 12:51:57,34
cg-us_ts_post_diwm,MEDIUM,112,112,2020-10-05,2020-10-05 12:38:32,2020-10-05 12:40:24,112
cg-us_ts_post,MEDIUM,1089,1089,2020-10-05,2020-10-05 16:07:22,2020-10-05 16:25:31,1089
cg-us_ps_specialty_paid,MEDIUM,4,4,2020-10-05,2020-10-05 09:40:45,2020-10-05 09:40:49,4
cg-us_ps_specialty_paid,MEDIUM,5,5,2020-10-05,2020-10-05 10:24:59,2020-10-05 10:25:04,5
cg-us_ts_post,MEDIUM,849,849,2020-10-05,2020-10-05 12:55:45,2020-10-05 13:09:54,849
cg-us_ts_post_diwm,MEDIUM,348,348,2020-10-05,2020-10-05 14:45:01,2020-10-05 14:50:49,348
cg-us_ts_post_diwm,MEDIUM,525,525,2020-10-05,2020-10-05 13:30:54,2020-10-05 13:39:39,525
cg-us_ts_paid,MEDIUM,169,169,2020-10-05,2020-10-05 09:02:56,2020-10-05 09:05:45,169
cg-us_ps_specialty_paid,MEDIUM,452,452,2020-10-05,2020-10-05 15:43:02,2020-10-05 15:50:34,452
cg-us_ts_post,MEDIUM,22,22,2020-10-05,2020-10-05 07:20:55,2020-10-05 07:21:17,22
cg-us_ts_post,MEDIUM,15,15,2020-10-05,2020-10-05 08:53:07,2020-10-05 08:53:22,15
cg-us_ts_paid,MEDIUM,166,166,2020-10-05,2020-10-05 09:16:02,2020-10-05 09:18:48,166
cg-us_ts_diwm,MEDIUM,316,316,2020-10-05,2020-10-05 15:51:09,2020-10-05 15:56:25,316
cg-us_ps_specialty_paid,MEDIUM,24,24,2020-10-05,2020-10-05 11:00:09,2020-10-05 11:00:33,24
cg-us_ts_post_diwm,MEDIUM,88,88,2020-10-05,2020-10-05 09:38:57,2020-10-05 09:40:25,88
cg-us_ps_specialty_paid,MEDIUM,10,10,2020-10-05,2020-10-05 11:48:20,2020-10-05 11:48:30,10
cg-us_ps_specialty_paid,MEDIUM,445,445,2020-10-05,2020-10-05 15:21:47,2020-10-05 15:29:12,445
cg-us_ts_post,MEDIUM,1871,1871,2020-10-05,2020-10-05 13:38:49,2020-10-05 14:10:00,1871
cg-us_ps_specialty_paid,MEDIUM,489,489,2020-10-05,2020-10-05 13:20:02,2020-10-05 13:28:11,489
cg-us_ps_specialty_paid,MEDIUM,5,5,2020-10-05,2020-10-05 07:30:13,2020-10-05 07:30:18,5
cg-us_ts_post,MEDIUM,1812,1812,2020-10-05,2020-10-05 13:41:58,2020-10-05 14:12:10,1812
cg-us_ts_post_diwm,MEDIUM,357,357,2020-10-05,2020-10-05 16:15:17,2020-10-05 16:21:14,357
cg-us_ps_specialty_paid,MEDIUM,18,18,2020-10-05,2020-10-05 12:14:31,2020-10-05 12:14:49,18
cg-us_ts_post,MEDIUM,1219,1219,2020-10-05,2020-10-05 12:48:34,2020-10-05 13:08:53,1219
cg-us_ps_specialty_paid,MEDIUM,5,5,2020-10-05,2020-10-05 09:30:17,2020-10-05 09:30:22,5
cg-us_ts_post,MEDIUM,236,236,2020-10-05,2020-10-05 10:23:58,2020-10-05 10:27:54,236
cg-us_ps_specialty_paid,MEDIUM,46,46,2020-10-05,2020-10-05 06:20:27,2020-10-05 06:21:13,46
cg-us_ts_post,MEDIUM,161,161,2020-10-05,2020-10-05 13:57:28,2020-10-05 14:00:09,161
cg-us_ps_specialty_paid,MEDIUM,19,19,2020-10-05,2020-10-05 09:52:36,2020-10-05 09:52:55,19
cg-us_ts_post,MEDIUM,135,135,2020-10-05,2020-10-05 13:43:22,2020-10-05 13:45:37,135
cg-us_ts_diwm,MEDIUM,188,188,2020-10-05,2020-10-05 12:57:34,2020-10-05 13:00:42,188
cg-us_ts_post_diwm,MEDIUM,237,237,2020-10-05,2020-10-05 13:23:40,2020-10-05 13:27:37,237
cg-us_ts_post_diwm,MEDIUM,125,125,2020-10-05,2020-10-05 09:27:34,2020-10-05 09:29:39,125
